id,text,label,image_url,image_id
1,"открыл рецепт простого борща ? поздравляю , ты официально на конференции по ядерной физике и международной политике ! emoji_1 # интернет # эксперты # сарказм # шуткишоу # борщ # обсуждаемвсё",1,https://drive.google.com/uc?id=1TppCI28unaAnsv9ZA94El0iMSxw4kRGN,1.jpg
2,"если я когда-нибудь напишу книгу , она будет называться "" бегущая по граблям "" # дневникидуры # шутка # юмор # смех # прикол # правда # сарказм # пятница # сатира emoji_2",1,https://drive.google.com/uc?id=1DbBzST9O-n6rYk-diuaCiag2JrCti56J,2.jpg
3,"осенний суп . вкусно и просто за 5 минут ! сохрани , чтобы не потерять ! # юмор # черныйюмор # приколы # сарказм",1,https://drive.google.com/uc?id=1nzHAjUVRTSF9vwtvE45O5Xt0Sj_K5Z8g,3.jpg
4,"- как ты ? - ниче , держусь , работаю",1,https://drive.google.com/uc?id=1OdjoilUGJS7StBzJ58ZZUxazNfs09Ho7,4.jpg
5,"надписи на футболке : камень , бумага , ножницы , циркулярка . новая игра для рабочих",1,https://drive.google.com/uc?id=1pfu5JV5znSkERg4ibD0SYny1UPqJedpZ,5.jpg
6,"санёк , что ты носишься ? премию не дадут , подзатыльник с радостью , а добрым словом отзовутся когда в гробу будешь emoji_3 # юмор # сарказм",1,https://drive.google.com/uc?id=1SjHygOvLGhU2pXJOQ-PPJNBlEO3QOsYD,6.jpg
7,"ах , я сошла с ума ! какая досада ! emoji_2 # сарказм # стёб # ирония",1,https://drive.google.com/uc?id=1T0dCB9mPVJ2UIio8nNQ0pCmTPfLrrDHi,7.jpg
8,"сегодня международный день защиты мужской нервной системы emoji_4 с праздником , муж emoji_5 # сарказм",1,https://drive.google.com/uc?id=1L2Qf_RtjLF-UHtdPqovj2Gezih3J0zmC,8.jpg
9,# квадроберы # сарказм # стопдегротам # квадроберы наверняка сейчас залаяли или расквакались от счастья emoji_2 emoji_2 emoji_2,1,https://drive.google.com/uc?id=1ZwnN4Zra9Bwfn02WWML51JnGS-m4Klpm,9.jpg
10,парковаться задом # сарказм,1,https://drive.google.com/uc?id=1t-ylnonIVfL_MPuC8fg-TRiY00NIR3BL,10.jpg
11,"суперлуние по уральски . на данном кадре мы наблюдаем огромную восходящую луну на юго-востоке , катящуюся по склону уральских гор . # сарказм # безнадёга # опятьвсёвоблаках",1,https://drive.google.com/uc?id=1vj3JiuTT5IVbrRclHxAdX35y1EcM_wtd,11.jpg
12,# сарказм следы более развитой цивилизации :,1,https://drive.google.com/uc?id=1aVQwVeXavcgwbK7x71csN1XFimN19Eqr,12.jpg
13,когда ты некромант и возродил старого друга emoji_6 # приколы # сарказм,1,https://drive.google.com/uc?id=1GiMSWidGvSgOJUBZmiYCjoHBeToK6tOX,13.jpg
14,"все гнобили серегу и смеялись над ним , а он вырос и стал прекрасным лебедем",1,https://drive.google.com/uc?id=1U2ptltuC2f4XyViuPb_gUJoqKyjPKVzt,14.jpg
15,- работаем с понедельника и до упора . - я уже упоролась ! можно домой ? emoji_7 # сарказм,1,https://drive.google.com/uc?id=1X2qzFWeKY2XfI4CZPuIcGgxGDIZqQ7pd,15.jpg
16,как у мамы :,1,https://drive.google.com/uc?id=1CcCivqIw5gdOIcgIhmpoCO6WADAYMC0f,16.jpg
17,"почта россии , спасибо за увлекательный квест ) это так мило , что вы заставляете меня гулять по городу и вносите разнообразие в мои будни .",1,https://drive.google.com/uc?id=1vKBp4ezlSIB9AFNXDRkCrhXXhcGTPmps,17.jpg
18,"всех 2,5 человек , кто меня смотрит . да я понимаю , что мой успех у многих из вас рано или поздно вызовет зависть и негодование , поэтому спешу вас успокоить мои дорогие - я не мечу в топ - мастера , не охочусь за просмотрами и славой ... я вообще не знаю кто этот человек .",1,https://drive.google.com/uc?id=1-ZxSPGk6DQCnW1eRMxRTko4fYPC_MsQA,18.jpg
19,"люди , радость снизошла на нас убогих . валерий меладзе планирует вернуться в россию , чтобы провести концертный тур в честь своего 60 - летия . # сарказм",1,https://drive.google.com/uc?id=1jGGosJbR7JIq16xGd-WsOmWS1zyrTpDJ,19.jpg
